,Цена,Ссылка,Общая площадь,Площадь кухни,Этаж,Санузел,Окна,Ремонт,Тип дома,Пассажирский лифт,Грузовой лифт,Парковка,Город,Этажей в доме,умный_относ_этаж,возраст_дома,период_строительства
8887,10500000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_73_m_818_et._7306969125?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,73.0,12.0,8,1,1,1,14024004.145800991,1,1,2,6531166.464112665,18,0.4117647058823529,7.0,4
8888,4800000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_416_m_617_et._7772603898?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,41.6,11.1,6,0,0,1,9870197.894296648,1,1,2,6531166.464112665,17,0.3125,2.0,4
8889,8000000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_67_m_1919_et._7759844690?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,67.0,16.0,19,1,1,2,9870197.894296648,1,1,0,6531166.464112665,19,1.4,0.0,4
8891,4600000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_35_m_1117_et._7720535444?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,35.0,7.3,11,0,0,0,8348267.076508711,1,0,0,6531166.464112665,17,0.625,38.0,1
8892,4050000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_292_m_124_et._7761276757?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,29.2,6.1,1,0,0,0,14024004.145800991,1,1,0,6531166.464112665,24,0.0,7.0,4
8894,5300000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_629_m_110_et._7444687702?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,62.9,8.0,1,1,1,0,8348267.076508711,1,0,0,6531166.464112665,10,0.0,32.0,1
8895,6050000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_601_m_59_et._4858249796?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,60.1,7.2,5,0,1,1,8348267.076508711,1,0,0,6531166.464112665,9,0.5,53.0,0
8896,2800000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_431_m_55_et._7649485004?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,43.1,6.0,5,2,1,0,8348267.076508711,0,0,0,6531166.464112665,5,1.1,59.0,0
8897,2350000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_294_m_55_et._7795628071?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,29.4,6.0,5,0,1,2,8348267.076508711,0,0,0,6531166.464112665,5,1.1,36.0,1
8898,7300000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_592_m_1517_et._7761876657?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,59.2,12.4,15,0,0,0,17259665.500506587,1,1,0,6531166.464112665,17,1.05,8.0,4
8899,5650000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_379_m_117_et._7761048515?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,37.9,8.0,1,0,0,0,8348267.076508711,1,0,0,6531166.464112665,17,0.0,38.0,1
